id,date,province,cumulative_recovered
1,2020-07-04,Alberta,447
2,2020-06-04,Alberta,361
3,2020-05-04,Alberta,279
4,2020-04-04,Alberta,196
5,2020-03-04,Alberta,196
6,2020-02-04,Alberta,174
7,2020-01-04,Alberta,142
8,2020-03-31,Alberta,120
9,2020-03-30,Alberta,94
10,2020-03-29,Alberta,73
11,2020-03-28,Alberta,53
12,2020-03-27,Alberta,33
13,2020-03-26,Alberta,27
14,2020-03-25,Alberta,3
15,2020-03-24,Alberta,3
16,2020-03-23,Alberta,3
17,2020-03-22,Alberta,3
18,2020-03-21,Alberta,3
19,2020-03-20,Alberta,3
20,2020-03-19,Alberta,2
21,2020-03-18,Alberta,0
22,2020-03-17,Alberta,0
23,2020-03-16,Alberta,0
24,2020-03-15,Alberta,0
25,2020-03-14,Alberta,0
26,2020-03-13,Alberta,0
27,2020-12-03,Alberta,0
28,2020-11-03,Alberta,0
29,2020-10-03,Alberta,0
30,2020-09-03,Alberta,0
31,2020-08-03,Alberta,0
32,2020-07-03,Alberta,0
33,2020-06-03,Alberta,0
34,2020-05-03,Alberta,0
35,2020-04-03,Alberta,-1
36,2020-03-03,Alberta,-1
37,2020-02-03,Alberta,-1
38,2020-01-03,Alberta,-1
39,2020-02-29,Alberta,-1
40,2020-02-28,Alberta,-1
41,2020-02-27,Alberta,-1
42,2020-02-26,Alberta,-1
43,2020-02-25,Alberta,-1
44,2020-02-24,Alberta,-1
45,2020-02-23,Alberta,-1
46,2020-02-22,Alberta,-1
47,2020-02-21,Alberta,-1
48,2020-02-20,Alberta,-1
49,2020-02-19,Alberta,-1
50,2020-02-18,Alberta,-1
51,2020-02-17,Alberta,-1
52,2020-02-16,Alberta,-1
53,2020-02-15,Alberta,-1
54,2020-02-14,Alberta,-1
55,2020-02-13,Alberta,-1
56,2020-12-02,Alberta,-1
57,2020-07-04,BC,805
58,2020-06-04,BC,783
59,2020-05-04,BC,704
60,2020-04-04,BC,704
61,2020-03-04,BC,673
62,2020-02-04,BC,641
63,2020-01-04,BC,606
64,2020-03-31,BC,507
65,2020-03-30,BC,469
66,2020-03-29,BC,396
67,2020-03-28,BC,396
68,2020-03-27,BC,275
69,2020-03-26,BC,186
70,2020-03-25,BC,183
71,2020-03-24,BC,173
72,2020-03-23,BC,100
73,2020-03-22,BC,6
74,2020-03-21,BC,6
75,2020-03-20,BC,6
76,2020-03-19,BC,5
77,2020-03-18,BC,5
78,2020-03-17,BC,5
79,2020-03-16,BC,5
80,2020-03-15,BC,5
81,2020-03-14,BC,5
82,2020-03-13,BC,5
83,2020-12-03,BC,4
84,2020-11-03,BC,4
85,2020-10-03,BC,4
86,2020-09-03,BC,4
87,2020-08-03,BC,4
88,2020-07-03,BC,4
89,2020-06-03,BC,4
90,2020-05-03,BC,4
91,2020-04-03,BC,4
92,2020-03-03,BC,4
93,2020-02-03,BC,4
94,2020-01-03,BC,4
