id,state,county,npi,start_date,end_date,citation,note
36,Arkansas,,gathering_size_10_0,,,https://governor.arkansas.gov/images/uploads/executiveOrders/EO_2010._.pdf,
37,Arkansas,,gathering_size_100_to_26,,,,
39,Arkansas,,gathering_size_500_to_101,,,,
69,Connecticut,,school_closure,,,https://portal.ct.gov//media/OfficeoftheGovernor/ExecutiveOrders/LamontExecutiveOrders/ExecutiveOrderNo7L.pdf,-
63,Colorado,,lockdown,,,,
95,District of Columbia,,gathering_size_25_to_11,,,,
123,Hawaii,,shelter_in_place,,,https://hawaiicovid19.com/statewidestayathomeordereffectivemarch252020throughapril302020/,
127,Hawaii,,gathering_size_25_to_11,,,,
41,Arkansas,,non-essential_services_closure,,,https://governor.arkansas.gov/images/uploads/executiveOrders/EO_2013._.pdf,
42,Arkansas,,religious_gatherings_banned,,,,religious gatherings exempted from shelter in place order
43,Arkansas,,school_closure,,,https://www.4029tv.com/article/arkansasschoolstocloseforonsiteinstruction/31636051#,
219,Maine,,gathering_size_25_to_11,,,,
44,Arkansas,,shelter_in_place,,,,
45,Arkansas,,social_distancing,,,https://governor.arkansas.gov/images/uploads/executiveOrders/EO_2010._.pdf,
226,Maryland,,gathering_size_25_to_11,,,,
227,Maryland,,gathering_size_500_to_101,,,,
277,Missouri,,shelter_in_place,,,https://governor.mo.gov/priorities/stay-home-order,
249,Michigan,,gathering_size_25_to_11,,,,
251,Michigan,,lockdown,,,,
337,New Jersey,,lockdown,,,,
315,Nevada,,gathering_size_100_to_26,,,,
316,Nevada,,gathering_size_25_to_11,,,,
392,Ohio,,gathering_size_500_to_101,,,,
393,Ohio,,lockdown,,,,
46,California,,closing_of_public_venues,,,https://www.gov.ca.gov/wpcontent/uploads/2020/03/3.19.20attestedEON3320COVID19HEALTHORDER.pdf,
326,New Hampshire,,lockdown,,,,
70,Connecticut,,closing_of_public_venues,,,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7D.pdf?la=en,
430,Pennsylvania,,social_distancing,,,,
456,South Dakota,,gathering_size_500_to_101,,,,
504,Vermont,,lockdown,,,,
549,Wisconsin,,lockdown,,,,
473,Tennessee,,shelter_in_place,,,https://www.tn.gov/governor/covid-19.html,
515,Virginia,,lockdown,,,,
527,Washington,,lockdown,,,,
624,Alabama,Madison,lockdown,,,,
47,California,,gathering_size_500_to_101,,,https://www.gov.ca.gov/2020/03/11/californiapublichealthexpertsmassgatheringsshouldbepostponedorcanceledstatewidetoslowthespreadofcovid19/,max gathering 250; smaller events can occur if social distancing is kept
71,Connecticut,,gathering_size_10_0,,,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7N.pdf?la=en,5 people max
762,California,Kern,closing_of_public_venues,,,,
763,California,Kern,gathering_size_10_0,,,,
48,California,,non-essential_services_closure,,,https://www.gov.ca.gov/wpcontent/uploads/2020/03/3.19.20attestedEON3320COVID19HEALTHORDER.pdf,"implied by this order, only th 16 critical infrustructure sectors permited"
72,Connecticut,,gathering_size_100_to_26,,,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7D.pdf?la=en,
73,Connecticut,,gathering_size_25_to_11,,,,
819,California,Riverside,gathering_size_500_to_101,,,https://www.riversideca.gov/press/city-riverside-declares-local-emergency-closes-non-essential-facilities-public, 
