id,date,region,transportation_type,value
1933,2020-01-13,Canada,driving,100.0
1934,2020-01-14,Canada,driving,102.91
1935,2020-01-15,Canada,driving,99.74
1936,2020-01-16,Canada,driving,105.17
1937,2020-01-17,Canada,driving,122.34
1938,2020-01-18,Canada,driving,102.5
1939,2020-01-19,Canada,driving,84.46
1940,2020-01-20,Canada,driving,102.63
1941,2020-01-21,Canada,driving,104.31
1942,2020-01-22,Canada,driving,107.37
1943,2020-01-23,Canada,driving,110.29
1944,2020-01-24,Canada,driving,127.88
1945,2020-01-25,Canada,driving,116.84
1946,2020-01-26,Canada,driving,88.06
1947,2020-01-27,Canada,driving,98.11
1948,2020-01-28,Canada,driving,102.75
1949,2020-01-29,Canada,driving,104.73
1950,2020-01-30,Canada,driving,109.0
1951,2020-01-31,Canada,driving,129.2
1952,2020-02-01,Canada,driving,119.47
1953,2020-02-02,Canada,driving,88.42
1954,2020-02-03,Canada,driving,97.41
1955,2020-02-04,Canada,driving,100.25
1956,2020-02-05,Canada,driving,103.6
1957,2020-02-06,Canada,driving,105.72
1958,2020-02-07,Canada,driving,120.32
1959,2020-02-08,Canada,driving,118.1
1960,2020-02-09,Canada,driving,92.45
1961,2020-02-10,Canada,driving,104.41
1962,2020-02-11,Canada,driving,107.15
1963,2020-02-12,Canada,driving,108.19
1964,2020-02-13,Canada,driving,115.97
1965,2020-02-14,Canada,driving,140.55
1966,2020-02-15,Canada,driving,125.71
1967,2020-02-16,Canada,driving,103.84
1968,2020-02-17,Canada,driving,95.14
1969,2020-02-18,Canada,driving,111.82
1970,2020-02-19,Canada,driving,113.99
1971,2020-02-20,Canada,driving,119.01
1972,2020-02-21,Canada,driving,136.41
1973,2020-02-22,Canada,driving,128.05
1974,2020-02-23,Canada,driving,98.89
1975,2020-02-24,Canada,driving,102.34
1976,2020-02-25,Canada,driving,107.2
1977,2020-02-26,Canada,driving,104.04
1978,2020-02-27,Canada,driving,105.22
1979,2020-02-28,Canada,driving,131.32
1980,2020-02-29,Canada,driving,125.25
1981,2020-03-01,Canada,driving,96.88
1982,2020-03-02,Canada,driving,105.19
1983,2020-03-03,Canada,driving,110.89
1984,2020-03-04,Canada,driving,112.29
1985,2020-03-05,Canada,driving,117.74
1986,2020-03-06,Canada,driving,128.31
1987,2020-03-07,Canada,driving,119.48
1988,2020-03-08,Canada,driving,95.1
1989,2020-03-09,Canada,driving,102.06
1990,2020-03-10,Canada,driving,103.97
1991,2020-03-11,Canada,driving,103.94
1992,2020-03-12,Canada,driving,100.22
1993,2020-03-13,Canada,driving,101.24
1994,2020-03-14,Canada,driving,87.16
1995,2020-03-15,Canada,driving,68.17
1996,2020-03-16,Canada,driving,74.1
1997,2020-03-17,Canada,driving,67.21
1998,2020-03-18,Canada,driving,63.91
1999,2020-03-19,Canada,driving,62.16
2000,2020-03-20,Canada,driving,63.93
2001,2020-03-21,Canada,driving,53.45
2002,2020-03-22,Canada,driving,41.73
2003,2020-03-23,Canada,driving,49.42
2004,2020-03-24,Canada,driving,48.66
2005,2020-03-25,Canada,driving,47.57
2006,2020-03-26,Canada,driving,46.94
2007,2020-03-27,Canada,driving,52.63
2008,2020-03-28,Canada,driving,43.08
2009,2020-03-29,Canada,driving,36.69
2010,2020-03-30,Canada,driving,45.01
2011,2020-03-31,Canada,driving,47.15
2012,2020-04-01,Canada,driving,48.1
2013,2020-04-02,Canada,driving,47.17
2014,2020-04-03,Canada,driving,51.71
2015,2020-04-04,Canada,driving,44.5
2016,2020-04-05,Canada,driving,36.1
2017,2020-04-06,Canada,driving,47.06
2018,2020-04-07,Canada,driving,48.1
2019,2020-04-08,Canada,driving,50.81
2020,2020-04-09,Canada,driving,56.31
2021,2020-04-10,Canada,driving,45.48
2022,2020-04-11,Canada,driving,47.79
2023,2020-04-12,Canada,driving,35.19
2024,2020-04-13,Canada,driving,44.73
2025,2020-01-13,Canada,transit,100.0
2026,2020-01-14,Canada,transit,100.03
2027,2020-01-15,Canada,transit,98.01
2028,2020-01-16,Canada,transit,101.01
2029,2020-01-17,Canada,transit,105.42
2030,2020-01-18,Canada,transit,89.65
2031,2020-01-19,Canada,transit,75.87
2032,2020-01-20,Canada,transit,98.64
2033,2020-01-21,Canada,transit,99.0
2034,2020-01-22,Canada,transit,100.79
2035,2020-01-23,Canada,transit,101.45
2036,2020-01-24,Canada,transit,108.86
2037,2020-01-25,Canada,transit,91.47
2038,2020-01-26,Canada,transit,75.15
2039,2020-01-27,Canada,transit,93.28
2040,2020-01-28,Canada,transit,95.88
2041,2020-01-29,Canada,transit,94.14
2042,2020-01-30,Canada,transit,97.63
2043,2020-01-31,Canada,transit,104.6
2044,2020-02-01,Canada,transit,93.75
2045,2020-02-02,Canada,transit,75.71
2046,2020-02-03,Canada,transit,93.13
2047,2020-02-04,Canada,transit,94.86
2048,2020-02-05,Canada,transit,94.09
2049,2020-02-06,Canada,transit,96.3
2050,2020-02-07,Canada,transit,103.76
2051,2020-02-08,Canada,transit,95.66
2052,2020-02-09,Canada,transit,78.4
2053,2020-02-10,Canada,transit,95.79
2054,2020-02-11,Canada,transit,96.84
2055,2020-02-12,Canada,transit,96.69
2056,2020-02-13,Canada,transit,102.9
2057,2020-02-14,Canada,transit,108.95
2058,2020-02-15,Canada,transit,92.72
2059,2020-02-16,Canada,transit,79.97
2060,2020-02-17,Canada,transit,80.63
2061,2020-02-18,Canada,transit,97.64
2062,2020-02-19,Canada,transit,98.13
2063,2020-02-20,Canada,transit,100.38
2064,2020-02-21,Canada,transit,110.64
2065,2020-02-22,Canada,transit,96.4
2066,2020-02-23,Canada,transit,78.72
2067,2020-02-24,Canada,transit,93.45
2068,2020-02-25,Canada,transit,94.4
2069,2020-02-26,Canada,transit,91.96
2070,2020-02-27,Canada,transit,94.2
2071,2020-02-28,Canada,transit,105.38
2072,2020-02-29,Canada,transit,99.36
2073,2020-03-01,Canada,transit,79.62
2074,2020-03-02,Canada,transit,95.54
2075,2020-03-03,Canada,transit,98.09
2076,2020-03-04,Canada,transit,100.52
2077,2020-03-05,Canada,transit,103.64
2078,2020-03-06,Canada,transit,103.96
2079,2020-03-07,Canada,transit,94.06
2080,2020-03-08,Canada,transit,78.53
2081,2020-03-09,Canada,transit,92.55
2082,2020-03-10,Canada,transit,91.11
2083,2020-03-11,Canada,transit,89.78
2084,2020-03-12,Canada,transit,83.35
2085,2020-03-13,Canada,transit,76.4
2086,2020-03-14,Canada,transit,63.75
2087,2020-03-15,Canada,transit,51.19
2088,2020-03-16,Canada,transit,50.0
2089,2020-03-17,Canada,transit,40.26
2090,2020-03-18,Canada,transit,35.59
2091,2020-03-19,Canada,transit,31.53
2092,2020-03-20,Canada,transit,30.3
2093,2020-03-21,Canada,transit,26.48
2094,2020-03-22,Canada,transit,22.26
2095,2020-03-23,Canada,transit,23.58
2096,2020-03-24,Canada,transit,21.68
2097,2020-03-25,Canada,transit,20.81
2098,2020-03-26,Canada,transit,19.64
2099,2020-03-27,Canada,transit,20.16
2100,2020-03-28,Canada,transit,18.09
2101,2020-03-29,Canada,transit,17.25
2102,2020-03-30,Canada,transit,19.58
2103,2020-03-31,Canada,transit,20.05
2104,2020-04-01,Canada,transit,19.54
2105,2020-04-02,Canada,transit,18.77
2106,2020-04-03,Canada,transit,18.88
2107,2020-04-04,Canada,transit,17.33
2108,2020-04-05,Canada,transit,16.32
2109,2020-04-06,Canada,transit,18.84
2110,2020-04-07,Canada,transit,17.9
2111,2020-04-08,Canada,transit,18.1
2112,2020-04-09,Canada,transit,17.74
2113,2020-04-10,Canada,transit,16.45
2114,2020-04-11,Canada,transit,16.78
2115,2020-04-12,Canada,transit,14.93
2116,2020-04-13,Canada,transit,18.09
2117,2020-01-13,Canada,walking,100.0
2118,2020-01-14,Canada,walking,106.29
2119,2020-01-15,Canada,walking,106.65
2120,2020-01-16,Canada,walking,108.64
2121,2020-01-17,Canada,walking,127.43
2122,2020-01-18,Canada,walking,122.55
2123,2020-01-19,Canada,walking,90.42
2124,2020-01-20,Canada,walking,104.92
2125,2020-01-21,Canada,walking,108.92
2126,2020-01-22,Canada,walking,112.57
2127,2020-01-23,Canada,walking,118.17
2128,2020-01-24,Canada,walking,139.85
2129,2020-01-25,Canada,walking,136.71
2130,2020-01-26,Canada,walking,93.37
2131,2020-01-27,Canada,walking,105.36
2132,2020-01-28,Canada,walking,111.79
2133,2020-01-29,Canada,walking,110.13
2134,2020-01-30,Canada,walking,115.16
2135,2020-01-31,Canada,walking,138.49
2136,2020-02-01,Canada,walking,140.12
2137,2020-02-02,Canada,walking,91.16
2138,2020-02-03,Canada,walking,102.67
2139,2020-02-04,Canada,walking,105.91
2140,2020-02-05,Canada,walking,107.29
2141,2020-02-06,Canada,walking,108.17
2142,2020-02-07,Canada,walking,128.56
2143,2020-02-08,Canada,walking,139.77
2144,2020-02-09,Canada,walking,93.6
2145,2020-02-10,Canada,walking,106.26
2146,2020-02-11,Canada,walking,111.39
2147,2020-02-12,Canada,walking,112.79
2148,2020-02-13,Canada,walking,120.1
2149,2020-02-14,Canada,walking,152.97
2150,2020-02-15,Canada,walking,152.65
2151,2020-02-16,Canada,walking,125.23
2152,2020-02-17,Canada,walking,99.59
2153,2020-02-18,Canada,walking,114.61
2154,2020-02-19,Canada,walking,119.86
2155,2020-02-20,Canada,walking,127.3
2156,2020-02-21,Canada,walking,152.97
2157,2020-02-22,Canada,walking,155.76
2158,2020-02-23,Canada,walking,103.86
2159,2020-02-24,Canada,walking,109.77
2160,2020-02-25,Canada,walking,111.42
2161,2020-02-26,Canada,walking,106.92
2162,2020-02-27,Canada,walking,107.07
2163,2020-02-28,Canada,walking,135.19
2164,2020-02-29,Canada,walking,146.34
2165,2020-03-01,Canada,walking,102.32
2166,2020-03-02,Canada,walking,109.77
2167,2020-03-03,Canada,walking,117.97
2168,2020-03-04,Canada,walking,123.88
2169,2020-03-05,Canada,walking,131.76
2170,2020-03-06,Canada,walking,142.64
2171,2020-03-07,Canada,walking,147.0
2172,2020-03-08,Canada,walking,108.48
2173,2020-03-09,Canada,walking,113.56
2174,2020-03-10,Canada,walking,108.1
2175,2020-03-11,Canada,walking,110.67
2176,2020-03-12,Canada,walking,106.32
2177,2020-03-13,Canada,walking,104.32
2178,2020-03-14,Canada,walking,103.0
2179,2020-03-15,Canada,walking,73.82
2180,2020-03-16,Canada,walking,75.7
2181,2020-03-17,Canada,walking,65.68
2182,2020-03-18,Canada,walking,62.44
2183,2020-03-19,Canada,walking,60.16
2184,2020-03-20,Canada,walking,59.11
2185,2020-03-21,Canada,walking,53.11
2186,2020-03-22,Canada,walking,43.54
2187,2020-03-23,Canada,walking,45.64
2188,2020-03-24,Canada,walking,48.44
2189,2020-03-25,Canada,walking,49.21
2190,2020-03-26,Canada,walking,46.46
2191,2020-03-27,Canada,walking,53.57
2192,2020-03-28,Canada,walking,43.07
2193,2020-03-29,Canada,walking,38.38
2194,2020-03-30,Canada,walking,42.36
2195,2020-03-31,Canada,walking,47.84
2196,2020-04-01,Canada,walking,49.0
2197,2020-04-02,Canada,walking,47.09
2198,2020-04-03,Canada,walking,48.68
2199,2020-04-04,Canada,walking,48.35
2200,2020-04-05,Canada,walking,39.89
2201,2020-04-06,Canada,walking,51.48
2202,2020-04-07,Canada,walking,50.34
2203,2020-04-08,Canada,walking,53.06
2204,2020-04-09,Canada,walking,52.77
2205,2020-04-10,Canada,walking,45.36
2206,2020-04-11,Canada,walking,48.43
2207,2020-04-12,Canada,walking,40.6
2208,2020-04-13,Canada,walking,41.76
2209,2020-01-13,Toronto,driving,100.0
2210,2020-01-14,Toronto,driving,105.38
2211,2020-01-15,Toronto,driving,102.42
2212,2020-01-16,Toronto,driving,107.2
2213,2020-01-17,Toronto,driving,122.11
2214,2020-01-18,Toronto,driving,86.03
2215,2020-01-19,Toronto,driving,78.09
2216,2020-01-20,Toronto,driving,101.53
2217,2020-01-21,Toronto,driving,101.79
2218,2020-01-22,Toronto,driving,104.59
2219,2020-01-23,Toronto,driving,105.81
2220,2020-01-24,Toronto,driving,120.86
2221,2020-01-25,Toronto,driving,106.37
2222,2020-01-26,Toronto,driving,78.9
2223,2020-01-27,Toronto,driving,94.06
2224,2020-01-28,Toronto,driving,99.4
2225,2020-01-29,Toronto,driving,101.89
2226,2020-01-30,Toronto,driving,104.53
2227,2020-01-31,Toronto,driving,120.54
2228,2020-02-01,Toronto,driving,109.83
2229,2020-02-02,Toronto,driving,77.15
2230,2020-02-03,Toronto,driving,95.9
2231,2020-02-04,Toronto,driving,99.63
2232,2020-02-05,Toronto,driving,102.94
2233,2020-02-06,Toronto,driving,99.53
2234,2020-02-07,Toronto,driving,115.1
2235,2020-02-08,Toronto,driving,107.83
