region,date,recent,cumulative,date_shifted
Quebec,2020-03-19,113,121,0
Quebec,2020-03-20,122,139,1
Quebec,2020-03-21,157,181,2
Quebec,2020-03-22,180,219,3
Quebec,2020-03-23,578,628,4
Quebec,2020-03-24,966,1040,5
Quebec,2020-03-25,1245,1339,6
Quebec,2020-03-26,1508,1629,7
Quebec,2020-03-27,1882,2021,8
Quebec,2020-03-28,2317,2498,9
Quebec,2020-03-29,2621,2840,10
Quebec,2020-03-30,2802,3430,11
Quebec,2020-03-31,3122,4162,12
Quebec,2020-04-01,3272,4611,13
Quebec,2020-04-02,3889,5518,14
Quebec,2020-04-03,4080,6101,15
Quebec,2020-04-04,4499,6997,16
Quebec,2020-04-05,5104,7944,17
Quebec,2020-04-06,5150,8580,18
Quebec,2020-04-07,5180,9342,19
Quebec,2020-04-08,5422,10033,20
Quebec,2020-04-09,5396,10914,21
Quebec,2020-04-10,5578,11679,22
Quebec,2020-04-11,5297,12294,23
Quebec,2020-04-12,4904,12848,24
Quebec,2020-04-13,4979,13559,25
Quebec,2020-04-14,4908,14250,26
Quebec,2020-04-15,4829,14862,27
Quebec,2020-04-16,4945,15859,28
Quebec,2020-04-17,5121,16800,29
Quebec,2020-04-18,5228,17522,30
Quebec,2020-04-19,5508,18356,31
Quebec,2020-04-20,5758,19317,32
Quebec,2020-04-21,5873,20123,33
Quebec,2020-04-22,6099,20961,34
Quebec,2020-04-23,5975,21834,35
Quebec,2020-04-24,5808,22608,36
Quebec,2020-04-25,5739,23261,37
Quebec,2020-04-26,5745,24101,38
Quebec,2020-04-27,5654,24971,39
Quebec,2020-04-28,5625,25748,40
Quebec,2020-04-29,5630,26591,41
Quebec,2020-04-30,5706,27540,42
Quebec,2020-05-01,6042,28650,43
Quebec,2020-05-02,6397,29658,44
Quebec,2020-05-03,7766,31867,45
Ontario,2020-03-14,75,103,0
Ontario,2020-03-15,113,145,1
Ontario,2020-03-16,142,177,2
Ontario,2020-03-17,152,189,3
Ontario,2020-03-18,172,214,4
Ontario,2020-03-19,199,258,5
Ontario,2020-03-20,239,318,6
Ontario,2020-03-21,274,377,7
Ontario,2020-03-22,280,425,8
Ontario,2020-03-23,326,503,9
Ontario,2020-03-24,399,588,10
Ontario,2020-03-25,474,688,11
Ontario,2020-03-26,600,858,12
Ontario,2020-03-27,675,993,13
Ontario,2020-03-28,767,1144,14
Ontario,2020-03-29,930,1355,15
Ontario,2020-03-30,1203,1706,16
Ontario,2020-03-31,1378,1966,17
