region,date,value
York Regional Health Unit,2020-02-29,1
York Regional Health Unit,2020-03-01,3
York Regional Health Unit,2020-03-02,0
York Regional Health Unit,2020-03-03,2
York Regional Health Unit,2020-03-04,0
York Regional Health Unit,2020-03-05,0
York Regional Health Unit,2020-03-06,1
York Regional Health Unit,2020-03-07,0
York Regional Health Unit,2020-03-08,0
York Regional Health Unit,2020-03-09,0
York Regional Health Unit,2020-03-10,0
York Regional Health Unit,2020-03-11,1
York Regional Health Unit,2020-03-12,0
York Regional Health Unit,2020-03-13,1
York Regional Health Unit,2020-03-14,0
York Regional Health Unit,2020-03-15,4
York Regional Health Unit,2020-03-16,5
York Regional Health Unit,2020-03-17,1
York Regional Health Unit,2020-03-18,2
York Regional Health Unit,2020-03-19,11
York Regional Health Unit,2020-03-20,1
York Regional Health Unit,2020-03-21,6
York Regional Health Unit,2020-03-22,9
York Regional Health Unit,2020-03-23,17
York Regional Health Unit,2020-03-24,22
York Regional Health Unit,2020-03-25,20
York Regional Health Unit,2020-03-26,34
York Regional Health Unit,2020-03-27,0
York Regional Health Unit,2020-03-28,0
York Regional Health Unit,2020-03-29,0
York Regional Health Unit,2020-03-30,0
York Regional Health Unit,2020-03-31,0
York Regional Health Unit,2020-04-01,184
York Regional Health Unit,2020-04-02,39
York Regional Health Unit,2020-04-03,43
York Regional Health Unit,2020-04-04,24
York Regional Health Unit,2020-04-05,13
York Regional Health Unit,2020-04-06,20
York Regional Health Unit,2020-04-07,59
York Regional Health Unit,2020-04-08,35
York Regional Health Unit,2020-04-09,46
York Regional Health Unit,2020-04-10,52
York Regional Health Unit,2020-04-11,23
York Regional Health Unit,2020-04-12,18
York Regional Health Unit,2020-04-13,68
York Regional Health Unit,2020-04-14,59
York Regional Health Unit,2020-04-15,59
York Regional Health Unit,2020-04-16,22
York Regional Health Unit,2020-04-17,63
York Regional Health Unit,2020-04-18,66
York Regional Health Unit,2020-04-19,49
York Regional Health Unit,2020-04-20,66
York Regional Health Unit,2020-04-21,51
York Regional Health Unit,2020-04-22,50
York Regional Health Unit,2020-04-23,28
York Regional Health Unit,2020-04-24,64
York Regional Health Unit,2020-04-25,45
York Regional Health Unit,2020-04-26,18
York Regional Health Unit,2020-04-27,25
York Regional Health Unit,2020-04-28,28
York Regional Health Unit,2020-04-29,29
York Regional Health Unit,2020-04-30,35
York Regional Health Unit,2020-05-01,46
York Regional Health Unit,2020-05-02,44
York Regional Health Unit,2020-05-03,27
The District of Algoma Health Unit,2020-02-29,0
The District of Algoma Health Unit,2020-03-01,0
The District of Algoma Health Unit,2020-03-02,0
The District of Algoma Health Unit,2020-03-03,0
The District of Algoma Health Unit,2020-03-04,0
The District of Algoma Health Unit,2020-03-05,0
The District of Algoma Health Unit,2020-03-06,0
The District of Algoma Health Unit,2020-03-07,0
The District of Algoma Health Unit,2020-03-08,0
The District of Algoma Health Unit,2020-03-09,0
The District of Algoma Health Unit,2020-03-10,0
The District of Algoma Health Unit,2020-03-11,0
The District of Algoma Health Unit,2020-03-12,0
The District of Algoma Health Unit,2020-03-13,0
The District of Algoma Health Unit,2020-03-14,0
The District of Algoma Health Unit,2020-03-15,0
The District of Algoma Health Unit,2020-03-16,0
The District of Algoma Health Unit,2020-03-17,0
The District of Algoma Health Unit,2020-03-18,1
The District of Algoma Health Unit,2020-03-19,0
The District of Algoma Health Unit,2020-03-20,0
The District of Algoma Health Unit,2020-03-21,0
The District of Algoma Health Unit,2020-03-22,0
The District of Algoma Health Unit,2020-03-23,0
The District of Algoma Health Unit,2020-03-24,0
The District of Algoma Health Unit,2020-03-25,0
The District of Algoma Health Unit,2020-03-26,0
The District of Algoma Health Unit,2020-03-27,0
The District of Algoma Health Unit,2020-03-28,1
The District of Algoma Health Unit,2020-03-29,2
The District of Algoma Health Unit,2020-03-30,1
The District of Algoma Health Unit,2020-03-31,0
The District of Algoma Health Unit,2020-04-01,0
The District of Algoma Health Unit,2020-04-02,1
The District of Algoma Health Unit,2020-04-03,1
The District of Algoma Health Unit,2020-04-04,1
The District of Algoma Health Unit,2020-04-05,0
The District of Algoma Health Unit,2020-04-06,1
The District of Algoma Health Unit,2020-04-07,0
The District of Algoma Health Unit,2020-04-08,0
The District of Algoma Health Unit,2020-04-09,1
The District of Algoma Health Unit,2020-04-10,0
The District of Algoma Health Unit,2020-04-11,0
The District of Algoma Health Unit,2020-04-12,0
The District of Algoma Health Unit,2020-04-13,0
The District of Algoma Health Unit,2020-04-14,0
The District of Algoma Health Unit,2020-04-15,0
The District of Algoma Health Unit,2020-04-16,1
The District of Algoma Health Unit,2020-04-17,1
The District of Algoma Health Unit,2020-04-18,0
The District of Algoma Health Unit,2020-04-19,0
The District of Algoma Health Unit,2020-04-20,0
The District of Algoma Health Unit,2020-04-21,0
The District of Algoma Health Unit,2020-04-22,0
The District of Algoma Health Unit,2020-04-23,0
The District of Algoma Health Unit,2020-04-24,0
The District of Algoma Health Unit,2020-04-25,1
The District of Algoma Health Unit,2020-04-26,0
The District of Algoma Health Unit,2020-04-27,0
The District of Algoma Health Unit,2020-04-28,0
The District of Algoma Health Unit,2020-04-29,0
The District of Algoma Health Unit,2020-04-30,0
The District of Algoma Health Unit,2020-05-01,0
The District of Algoma Health Unit,2020-05-02,0
The District of Algoma Health Unit,2020-05-03,0
Simcoe Muskoka District Health Unit,2020-02-29,0
Simcoe Muskoka District Health Unit,2020-03-01,0
Simcoe Muskoka District Health Unit,2020-03-02,0
Simcoe Muskoka District Health Unit,2020-03-03,0
Simcoe Muskoka District Health Unit,2020-03-04,0
Simcoe Muskoka District Health Unit,2020-03-05,0
Simcoe Muskoka District Health Unit,2020-03-06,0
Simcoe Muskoka District Health Unit,2020-03-07,0
Simcoe Muskoka District Health Unit,2020-03-08,0
Simcoe Muskoka District Health Unit,2020-03-09,0
Simcoe Muskoka District Health Unit,2020-03-10,0
Simcoe Muskoka District Health Unit,2020-03-11,0
Simcoe Muskoka District Health Unit,2020-03-12,1
Simcoe Muskoka District Health Unit,2020-03-13,0
Simcoe Muskoka District Health Unit,2020-03-14,0
Simcoe Muskoka District Health Unit,2020-03-15,2
Simcoe Muskoka District Health Unit,2020-03-16,0
Simcoe Muskoka District Health Unit,2020-03-17,1
Simcoe Muskoka District Health Unit,2020-03-18,1
