,date,description,ticker,time
0,Aug-15-20,Trump Orders TikToks Chinese Parent to Sell Its U.S. Assets,fb,01:27PM
1,Aug-15-20,"Benzinga's Bulls And Bears Of The Week: CVS, Moderna, Facebook, Tilray And More",fb,01:26PM
2,Aug-14-20,Robinhood Has Mastered the Stock Market Game. Its Next Act Will Be Tougher.,fb,08:36PM
3,Aug-14-20,"Facebook Debuts Paid Online Events, Swipes at Apple for Fees",fb,07:19PM
4,Aug-14-20,Facebook Joins the List of Apple App Store Critics,fb,06:33PM
5,Aug-14-20,Pinterest Delays New Board Member as Workers Protest,fb,06:11PM
6,Aug-14-20,'Blackmailers stole our Instagram account',fb,05:25PM
7,Aug-14-20,Facebook Says Apple In-App Fees Hurt Businesses During Covid,fb,04:41PM
8,Aug-14-20,Alphabet Inc. Cl A stock underperforms Friday when compared to competitors,fb,04:25PM
9,Aug-14-20,Unusually Large Facebook Option Trades Suggest 2020 Rally Has Legs,fb,03:36PM
10,Aug-14-20,Facebook critiques Apple on its commission system,fb,03:30PM
11,Aug-14-20,"Facebook bashes Apple for refusing to waive commission fees, seizing on backlash",fb,03:30PM
12,Aug-14-20,"Facebook Launches Paid Online Events for Creators, Complains That Apple Will Take 30% of Payments Made Through iOS App",fb,03:29PM
13,Aug-14-20,Facebook announces paid online events for small businesses,fb,03:23PM
14,Aug-14-20,Analysts Are Sounding Red Alarms About a Microsoft and TikTok Combination,fb,01:54PM
15,Aug-14-20,Amazon Considers Relocating Some Employees Out of Seattle,fb,09:00AM
16,Aug-14-20,Facebook Shouldnt Have to Pay Publishers for News,fb,08:00AM
17,Aug-14-20,Why I Sold Facebook Stock,fb,06:00AM
18,Aug-14-20,Kamala Harriss Indian Connections Spark Social Media Frenzy,fb,12:56AM
19,Aug-13-20,Facebook Bracing for an Election Night Without Results,fb,08:50PM
20,Aug-13-20,Game Makers Give Apple the Antitrust Grilling Congress Didnt,fb,08:14PM
21,Aug-13-20,Alphabet Inc. Cl A stock outperforms market on strong trading day,fb,04:25PM
22,Aug-13-20,Scott Galloway on TikTok and Big Techs Antitrust Reckoning,fb,02:58PM
23,Aug-13-20,Facebook hardens digital defense for misinformation ahead of elections,fb,01:42PM
24,Aug-13-20,Sheryl Sandberg Says Business Barriers for Black Women Rise in Pandemic,fb,01:26PM
25,Aug-13-20,Apple is planning to bundle its subscription offerings: report,fb,11:13AM
26,Aug-13-20,Facebook Aims to Reach 160 Million Voters With Election Hub,fb,10:37AM
27,Aug-13-20,"Facebook, Snap Held Talks To Buy TikTok Rival Dubsmash  Report",fb,06:23AM
28,Aug-13-20,TikTok and WeChat Expose Big Techs Lack of Innovation,fb,06:00AM
29,Aug-13-20,Facebook launches hub to help users with U.S. poll related information,fb,03:49AM
30,Aug-12-20,Tencent Plays Down WeChat Ban After Results Beat Estimates,fb,09:50PM
31,Aug-12-20,"Facebook, Snap held talks to buy TikTok rival Dubsmash: Information",fb,06:12PM
32,Aug-12-20,How Broadcom May Have Helped Make Googles Latest AI Chip,fb,05:17PM
33,Aug-12-20,"Alphabet Inc. Cl A stock rises Wednesday, outperforms market",fb,04:25PM
34,Aug-12-20,"Kamala Harris is a friend, not foe, of Big Tech",fb,04:09PM
35,Aug-12-20,"Trending Market News Wednesday: Crude Prices, TikTok",fb,03:25PM
36,Aug-12-20,"Dow Jones Spikes 300 Points On Moderna Coronavirus Vaccine Deal; Apple Rebounds 3%, While Tesla Surges On Stock Split",fb,12:07PM
37,Aug-12-20,Hashed CEO Simon Kim Explains Why Consumer-Focused Apps are the Future of Blockchain,fb,09:57AM
38,Aug-12-20,Trumps WeChat Assault Endangers $280 Billion Tencent Rally,fb,02:16AM
